Country,Year,Income share of the richest 1% (before tax) (World Inequality Database)
Japan,1992,9.83
Japan,1993,10.01
Japan,1994,9.85
Japan,1995,10.39
Japan,1996,10.86
Japan,1997,9.94
Japan,1998,10.19
Japan,1999,10.65
Japan,2000,11.01
Japan,2001,11.26
Japan,2002,11.18
Japan,2003,12.34
Japan,2004,12.91
Japan,2005,13.35
Japan,2006,13.41
Japan,2007,13.1
Japan,2008,12.48
Japan,2009,12.01
Japan,2010,12.79
Japan,2011,12.31
Japan,2012,12.41
Japan,2013,12.46
Japan,2014,12.68
Japan,2015,12.73
Japan,2016,12.61
Japan,2017,12.46
Japan,2018,12.46
Japan,2019,12.56
Japan,2020,13.01
Japan,2021,12.44
Japan,2022,13.39
Japan,2023,12.89
Jersey,1980,9.08
Jersey,1981,9.05
Jersey,1982,9.02
Jersey,1983,9.13
Jersey,1984,9.34
Jersey,1985,9.37
Jersey,1986,9.34
Jersey,1987,9.27
Jersey,1988,9.33
Jersey,1989,9.43
Jersey,1990,9.22
Jersey,1991,9.14
Jersey,1992,9.51
Jersey,1993,9.63
Jersey,1994,10.07
Jersey,1995,9.75
Jersey,1996,10.08
Jersey,1997,10.68
Jersey,1998,10.81
Jersey,1999,10.88
Jersey,2000,11.3
Jersey,2001,10.86
Jersey,2002,10.5
Jersey,2003,10.75
Jersey,2004,11.16
Jersey,2005,11.34
Jersey,2006,12
Jersey,2007,11.98
Jersey,2008,10.78
Jersey,2009,9.88
Jersey,2010,10.93
Jersey,2011,10.88
Jersey,2012,10.25
Jersey,2013,10.4
Jersey,2014,10.85
Jersey,2015,10.66
Jersey,2016,10.77
Jersey,2017,10.78
Jersey,2018,10.83
Jersey,2019,10.49
Jersey,2020,10.58
Jersey,2021,11.4
Jersey,2022,11.5
Jersey,2023,11.5
Jordan,1986,17.36
Jordan,1992,22.84
Jordan,2002,18.9
Jordan,2006,20.51
Jordan,2008,21.09
Jordan,2010,23.21
Jordan,2013,19.91
Jordan,2022,20.14
Jordan,2023,19.91
Kazakhstan,1993,10.49
Kazakhstan,1996,12.96
Kazakhstan,2001,15.41
Kazakhstan,2002,16.04
Kazakhstan,2003,15.66
Kazakhstan,2004,12.74
Kazakhstan,2005,19.56
Kazakhstan,2006,16.64
Kazakhstan,2007,15.23
Kazakhstan,2008,14.97
Kazakhstan,2009,15.76
Kazakhstan,2010,15.38
Kazakhstan,2011,13.66
Kazakhstan,2012,14.28
Kazakhstan,2013,14.23
Kazakhstan,2014,14.2
Kazakhstan,2015,12.52
Kazakhstan,2016,14.63
Kazakhstan,2017,14.91
Kazakhstan,2022,15.36
Kazakhstan,2023,15
Kenya,1992,19.38
Kenya,1994,18.84
Kenya,1997,18.8
Kenya,2005,21.43
Kenya,2015,15.02
Kenya,2022,15.68
Kenya,2023,15.68
Kiribati,1980,8.81
Kiribati,1981,8.95
Kiribati,1982,9.1
Kiribati,1983,9.25
Kiribati,1984,9.4
Kiribati,1985,9.55
Kiribati,1986,9.71
Kiribati,1987,9.87
Kiribati,1988,10.03
Kiribati,1989,10.2
Kiribati,1990,10.37
Kiribati,1991,10.65
Kiribati,1992,10.91
Kiribati,1993,11.17
Kiribati,1994,11.42
Kiribati,1995,11.66
Kiribati,1996,11.89
Kiribati,1997,12.12
Kiribati,1998,12.34
Kiribati,1999,12.55
Kiribati,2000,12.76
Kiribati,2001,13.14
Kiribati,2002,13.51
Kiribati,2003,13.88
Kiribati,2004,14.23
Kiribati,2005,14.58
Kiribati,2006,14.92
Kiribati,2007,15.25
Kiribati,2008,15.57
Kiribati,2009,15.89
Kiribati,2010,16.2
Kiribati,2011,16.18
Kiribati,2012,16.16
Kiribati,2013,16.14
Kiribati,2014,16.12
Kiribati,2015,16.11
Kiribati,2016,16.09
Kiribati,2017,16.07
Kiribati,2018,16.06
Kiribati,2019,16.05
Kiribati,2020,16.03
Kiribati,2021,16.03
Kiribati,2022,16.03
Kiribati,2023,16.03
Kosovo,2004,8.06
Kosovo,2005,8.08
Kosovo,2006,7.98
Kosovo,2007,7.62
Kosovo,2008,8.78
Kosovo,2009,8.2
Kosovo,2010,8.69
Kosovo,2011,8.76
Kosovo,2012,8.95
Kosovo,2013,9.24
Kosovo,2014,9.19
Kosovo,2015,9.52
Kosovo,2016,9.49
Kosovo,2022,8.89
Kosovo,2023,8.85
Kuwait,2007,21.05
Kuwait,2012,19.73
Kuwait,2022,17.61
Kuwait,2023,17.1
Kyrgyzstan,1998,16.19
Kyrgyzstan,1999,12.17
Kyrgyzstan,2000,10.17
Kyrgyzstan,2001,10.97
Kyrgyzstan,2002,10.67
Kyrgyzstan,2003,10.34
Kyrgyzstan,2004,14.19
Kyrgyzstan,2005,14.74
Kyrgyzstan,2006,18.22
Kyrgyzstan,2007,13.3
Kyrgyzstan,2008,14.48
Kyrgyzstan,2009,14.52
Kyrgyzstan,2010,14.04
Kyrgyzstan,2011,13.2
Kyrgyzstan,2012,12.5
Kyrgyzstan,2013,12.21
Kyrgyzstan,2014,12.2
Kyrgyzstan,2015,14.55
Kyrgyzstan,2016,12.07
Kyrgyzstan,2017,13.84
Kyrgyzstan,2018,13.96
Kyrgyzstan,2022,18.06
Kyrgyzstan,2023,18.49
Laos,1992,17.78
Laos,1997,19.59
Laos,2002,18.37
Laos,2007,19.28
Laos,2012,17.25
Laos,2018,19.7
Laos,2022,20.1
Laos,2023,20.33
Latin America (WID),1820,23.32
Latin America (WID),1850,23.24
Latin America (WID),1880,23.22
Latin America (WID),1900,23.46
Latin America (WID),1910,24.07
Latin America (WID),1920,23.9
Latin America (WID),1930,25
Latin America (WID),1940,26.79
Latin America (WID),1950,24.48
Latin America (WID),1960,20.34
Latin America (WID),1970,22.13
Latin America (WID),1980,18.7
Latin America (WID),1981,18.96
Latin America (WID),1982,18.85
Latin America (WID),1983,18.7
Latin America (WID),1984,18.65
Latin America (WID),1985,18.77
Latin America (WID),1986,18.78
Latin America (WID),1987,18.93
Latin America (WID),1988,18.79
Latin America (WID),1989,19
Latin America (WID),1990,18.71
Latin America (WID),1991,18.66
Latin America (WID),1992,18.66
Latin America (WID),1993,18.66
Latin America (WID),1994,18.74
Latin America (WID),1995,19.11
Latin America (WID),1996,18.96
Latin America (WID),1997,18.91
Latin America (WID),1998,18.88
Latin America (WID),1999,18.71
Latin America (WID),2000,18.69
Latin America (WID),2001,18.93
Latin America (WID),2002,19.01
Latin America (WID),2003,20.51
Latin America (WID),2004,21.08
Latin America (WID),2005,20.29
Latin America (WID),2006,19.97
Latin America (WID),2007,21.91
Latin America (WID),2008,22.45
Latin America (WID),2009,21.35
Latin America (WID),2010,22.28
Latin America (WID),2011,22.79
Latin America (WID),2012,22.94
Latin America (WID),2013,22.51
Latin America (WID),2014,22.9
Latin America (WID),2015,22.07
Latin America (WID),2016,21.61
Latin America (WID),2017,21.49
Latin America (WID),2018,22.35
Latin America (WID),2019,21.86
Latin America (WID),2020,22.39
Latin America (WID),2021,21.32
Latin America (WID),2022,20.16
Latin America (WID),2023,20.3
Latvia,1988,5.33
Latvia,1994,8.72
Latvia,1995,10.77
Latvia,1996,11
Latvia,1997,10.72
Latvia,1998,10.59
Latvia,1999,10.98
Latvia,2000,10.71
Latvia,2001,10.29
Latvia,2002,11.05
Latvia,2003,10.57
Latvia,2004,11.5
Latvia,2005,11.93
Latvia,2006,9.54
Latvia,2007,10.58
Latvia,2008,10.46
Latvia,2009,11.5
Latvia,2010,9.65
Latvia,2011,10.31
Latvia,2012,11.18
Latvia,2013,11.47
Latvia,2014,10.64
Latvia,2015,10.09
Latvia,2016,8.65
Latvia,2017,9.51
Latvia,2018,9.46
Latvia,2022,10.71
Latvia,2023,10.69
Lebanon,2006,20.54
Lebanon,2007,21.81
Lebanon,2008,21.31
Lebanon,2009,20.39
Lebanon,2010,20.76
Lebanon,2011,21.05
Lebanon,2012,22.15
Lebanon,2013,22.07
Lebanon,2022,19.09
Lebanon,2023,21.17
Lesotho,1986,25.48
Lesotho,1993,22.65
Lesotho,1994,22.48
Lesotho,2002,18.46
Lesotho,2010,16.22
Lesotho,2017,14.33
Lesotho,2022,14.33
Lesotho,2023,14.33
Liberia,2007,12.57
Liberia,2014,10.68
Liberia,2016,12
Liberia,2022,12
Liberia,2023,12
Libya,2022,16.5
Libya,2023,16.77
Liechtenstein,1980,9.08
Liechtenstein,1981,9.05
Liechtenstein,1982,9.02
Liechtenstein,1983,9.13
Liechtenstein,1984,9.34
Liechtenstein,1985,9.37
Liechtenstein,1986,9.34
Liechtenstein,1987,9.27
Liechtenstein,1988,9.33
Liechtenstein,1989,9.43
Liechtenstein,1990,9.22
Liechtenstein,1991,9.14
Liechtenstein,1992,9.51
Liechtenstein,1993,9.63
Liechtenstein,1994,10.07
Liechtenstein,1995,9.75
Liechtenstein,1996,10.08
Liechtenstein,1997,10.68
Liechtenstein,1998,10.81
Liechtenstein,1999,10.88
Liechtenstein,2000,11.3
Liechtenstein,2001,10.86
Liechtenstein,2002,10.5
Liechtenstein,2003,10.75
Liechtenstein,2004,11.16
Liechtenstein,2005,11.34
Liechtenstein,2006,12
Liechtenstein,2007,11.98
Liechtenstein,2008,10.78
Liechtenstein,2009,9.88
Liechtenstein,2010,10.93
Liechtenstein,2011,10.88
Liechtenstein,2012,10.25
Liechtenstein,2013,10.4
Liechtenstein,2014,10.85
Liechtenstein,2015,10.66
Liechtenstein,2016,10.77
Liechtenstein,2017,10.78
Liechtenstein,2018,10.83
Liechtenstein,2019,10.49
Liechtenstein,2020,10.58
Liechtenstein,2021,11.4
Liechtenstein,2022,11.5
Liechtenstein,2023,11.5
Lithuania,1988,4.51
Lithuania,1994,9.43
Lithuania,1995,9.33
Lithuania,1996,9.68
Lithuania,1997,9.26
Lithuania,1998,8.87
Lithuania,1999,8.67
Lithuania,2000,8.55
Lithuania,2001,8.87
Lithuania,2002,8.93
Lithuania,2003,9.16
Lithuania,2004,8.57
Lithuania,2005,9.51
Lithuania,2006,8.44
Lithuania,2007,11.36
Lithuania,2008,11.71
Lithuania,2009,10.93
Lithuania,2010,9.17
Lithuania,2011,9.55
Lithuania,2012,11.39
Lithuania,2013,11.79
Lithuania,2014,14.42
Lithuania,2015,10.69
Lithuania,2016,10.58
Lithuania,2017,11.8
Lithuania,2022,9.49
Lithuania,2023,9.48
Luxembourg,1985,13.07
Luxembourg,1991,14.5
Luxembourg,1994,14.32
Luxembourg,1997,15.08
Luxembourg,2000,17.45
Luxembourg,2004,18.1
Luxembourg,2005,18.58
Luxembourg,2006,17.22
Luxembourg,2007,19.75
Luxembourg,2008,19.03
Luxembourg,2009,14.1
Luxembourg,2010,14.57
Luxembourg,2011,13.1
Luxembourg,2012,16.38
Luxembourg,2013,13.74
Luxembourg,2014,15.13
Luxembourg,2015,10.87
Luxembourg,2016,12.42
Luxembourg,2017,15.29
Luxembourg,2022,13.25
Luxembourg,2023,13.66
MENA (WID),1820,24.33
MENA (WID),1850,24.61
MENA (WID),1880,24.81
MENA (WID),1900,25.44
MENA (WID),1910,27.14
MENA (WID),1920,27.59
MENA (WID),1930,27.22
MENA (WID),1940,26.99
MENA (WID),1950,24.47
MENA (WID),1960,26.78
MENA (WID),1970,30.82
MENA (WID),1980,36.58
MENA (WID),1981,35.99
MENA (WID),1982,31.46
MENA (WID),1983,30.92
MENA (WID),1984,29.01
MENA (WID),1985,29.13
MENA (WID),1986,28.82
MENA (WID),1987,28.7
MENA (WID),1988,29.66
MENA (WID),1989,27.89
MENA (WID),1990,27.63
MENA (WID),1991,30.18
MENA (WID),1992,29.59
MENA (WID),1993,27.23
MENA (WID),1994,26.94
MENA (WID),1995,27.06
MENA (WID),1996,26.41
MENA (WID),1997,27.01
MENA (WID),1998,26
MENA (WID),1999,26.06
MENA (WID),2000,25.94
MENA (WID),2001,25.76
MENA (WID),2002,25.24
MENA (WID),2003,25.48
MENA (WID),2004,25.17
MENA (WID),2005,24.65
MENA (WID),2006,24.54
MENA (WID),2007,24.15
MENA (WID),2008,24.13
MENA (WID),2009,23.91
MENA (WID),2010,23.57
MENA (WID),2011,23.78
MENA (WID),2012,24.34
MENA (WID),2013,23.83
MENA (WID),2014,23.65
MENA (WID),2015,24.28
MENA (WID),2016,23.5
MENA (WID),2017,23.49
MENA (WID),2018,23.85
MENA (WID),2019,23.4
MENA (WID),2020,23.46
MENA (WID),2021,23.28
MENA (WID),2022,23.93
MENA (WID),2023,23.64
Macao,2022,15.93
Macao,2023,14.46
Madagascar,1980,21.43
Madagascar,1997,14.61
Madagascar,1999,11.64
Madagascar,2001,15.76
Madagascar,2005,18.33
Madagascar,2010,18.6
Madagascar,2012,15.02
Madagascar,2022,15.02
Madagascar,2023,15.02
Malawi,1997,64.24
Malawi,2004,18.83
Malawi,2010,21.73
Malawi,2016,31.06
Malawi,2022,15.02
Malawi,2023,15.02
Malaysia,1984,19.98
Malaysia,1987,19.43
Malaysia,1989,18.84
Malaysia,1992,18.88
Malaysia,1995,19.36
Malaysia,1997,19.92
Malaysia,2003,19.16
Malaysia,2004,17.18
Malaysia,2005,17.2
Malaysia,2006,17.54
Malaysia,2007,18.24
Malaysia,2008,17.98
Malaysia,2009,18.14
Malaysia,2010,18.59
Malaysia,2011,16.9
Malaysia,2012,16.36
Malaysia,2013,15.65
Malaysia,2014,14.59
Malaysia,2015,15.36
Malaysia,2022,14.64
Malaysia,2023,14.6
Maldives,2002,36.03
Maldives,2009,19.3
Maldives,2016,13.07
Maldives,2022,13.18
Maldives,2023,12.98
Mali,1994,21.49
Mali,2001,13.62
Mali,2006,12.67
Mali,2009,9.52
Mali,2022,11.93
Mali,2023,11.93
Malta,1980,7.29
Malta,1981,7.29
Malta,1982,7.29
Malta,1983,7.29
Malta,1984,7.29
Malta,1985,7.29
Malta,1986,7.29
Malta,1987,7.29
Malta,1988,7.29
Malta,1989,7.29
Malta,1990,7.29
Malta,1991,7.29
Malta,1992,7.29
Malta,1993,7.29
Malta,1994,7.29
Malta,1995,7.29
Malta,1996,7.29
Malta,1997,7.29
Malta,1998,7.29
Malta,1999,7.29
Malta,2000,7.29
Malta,2001,7.29
Malta,2002,7.29
Malta,2003,7.29
Malta,2004,7.29
Malta,2005,7.29
Malta,2006,7.29
Malta,2007,6.62
Malta,2008,7.37
Malta,2009,8.42
Malta,2010,8.2
Malta,2011,9.57
Malta,2012,10.18
Malta,2013,10.5
Malta,2014,10.46
Malta,2015,10.72
Malta,2016,10.54
Malta,2017,11.18
Malta,2022,8.88
Malta,2023,8.87
Marshall Islands,1980,8.81
Marshall Islands,1981,8.95
Marshall Islands,1982,9.1
Marshall Islands,1983,9.25
Marshall Islands,1984,9.4
Marshall Islands,1985,9.55
Marshall Islands,1986,9.71
Marshall Islands,1987,9.87
Marshall Islands,1988,10.03
Marshall Islands,1989,10.2
Marshall Islands,1990,10.37
Marshall Islands,1991,10.65
Marshall Islands,1992,10.91
Marshall Islands,1993,11.17
Marshall Islands,1994,11.42
Marshall Islands,1995,11.66
Marshall Islands,1996,11.89
Marshall Islands,1997,12.12
Marshall Islands,1998,12.34
Marshall Islands,1999,12.55
Marshall Islands,2000,12.76
Marshall Islands,2001,13.14
Marshall Islands,2002,13.51
Marshall Islands,2003,13.88
Marshall Islands,2004,14.23
Marshall Islands,2005,14.58
Marshall Islands,2006,14.92
Marshall Islands,2007,15.25
Marshall Islands,2008,15.57
Marshall Islands,2009,15.89
Marshall Islands,2010,16.2
Marshall Islands,2011,16.18
Marshall Islands,2012,16.16
Marshall Islands,2013,16.14
Marshall Islands,2014,16.12
Marshall Islands,2015,16.11
Marshall Islands,2016,16.09
Marshall Islands,2017,16.07
Marshall Islands,2018,16.06
Marshall Islands,2019,16.05
Marshall Islands,2020,16.03
Marshall Islands,2021,16.03
Marshall Islands,2022,16.03
Marshall Islands,2023,16.03
Mauritania,1987,12.75
Mauritania,1993,12.42
Mauritania,1995,12.41
Mauritania,2000,11
Mauritania,2004,16.73
Mauritania,2008,10.12
Mauritania,2014,10.59
Mauritania,2022,9.8
Mauritania,2023,9.8
Mauritius,2006,13.59
Mauritius,2012,16.88
Mauritius,2017,15.81
Mauritius,2022,15.76
Mauritius,2023,15.73
Mexico,2001,11.69
Mexico,2002,11.69
Mexico,2003,14.68
Mexico,2004,17.67
Mexico,2005,16.09
Mexico,2006,14.51
Mexico,2007,18.05
Mexico,2008,21.6
Mexico,2009,23.43
Mexico,2010,25.26
Mexico,2011,26.34
Mexico,2012,27.41
Mexico,2013,28.19
Mexico,2014,28.98
Mexico,2015,26.81
Mexico,2016,24.64
Mexico,2017,27.13
Mexico,2018,29.63
Mexico,2019,27.62
Mexico,2022,21.58
Mexico,2023,21.58
Micronesia (country),1980,8.81
Micronesia (country),1981,8.95
Micronesia (country),1982,9.1
Micronesia (country),1983,9.25
Micronesia (country),1984,9.4
Micronesia (country),1985,9.55
Micronesia (country),1986,9.71
Micronesia (country),1987,9.87
Micronesia (country),1988,10.03
Micronesia (country),1989,10.2
Micronesia (country),1990,10.37
Micronesia (country),1991,10.65
Micronesia (country),1992,10.91
Micronesia (country),1993,11.17
Micronesia (country),1994,11.42
Micronesia (country),1995,11.66
Micronesia (country),1996,11.89
Micronesia (country),1997,12.12
Micronesia (country),1998,12.34
Micronesia (country),1999,12.55
Micronesia (country),2000,12.76
Micronesia (country),2001,13.14
Micronesia (country),2002,13.51
Micronesia (country),2003,13.88
Micronesia (country),2004,14.23
Micronesia (country),2005,14.58
Micronesia (country),2006,14.92
Micronesia (country),2007,15.25
Micronesia (country),2008,15.57
Micronesia (country),2009,15.89
Micronesia (country),2010,16.2
Micronesia (country),2011,16.18
Micronesia (country),2012,16.16
Micronesia (country),2013,16.14
Micronesia (country),2014,16.12
Micronesia (country),2015,16.11
Micronesia (country),2016,16.09
Micronesia (country),2017,16.07
Micronesia (country),2018,16.06
Micronesia (country),2019,16.05
Micronesia (country),2020,16.03
Micronesia (country),2021,16.03
Micronesia (country),2022,16.03
Micronesia (country),2023,16.03
Middle Africa (WID),1980,22.67
Middle Africa (WID),1981,22.66
Middle Africa (WID),1982,22.84
Middle Africa (WID),1983,23.09
Middle Africa (WID),1984,23.35
Middle Africa (WID),1985,22.99
Middle Africa (WID),1986,22.08
Middle Africa (WID),1987,22.99
Middle Africa (WID),1988,22.52
Middle Africa (WID),1989,22.79
Middle Africa (WID),1990,23.46
Middle Africa (WID),1991,24.96
Middle Africa (WID),1992,24.85
Middle Africa (WID),1993,24.9
Middle Africa (WID),1994,24.94
Middle Africa (WID),1995,25.32
Middle Africa (WID),1996,26.05
Middle Africa (WID),1997,26.72
Middle Africa (WID),1998,26.55
Middle Africa (WID),1999,27
Middle Africa (WID),2000,27.27
Middle Africa (WID),2001,27.27
Middle Africa (WID),2002,27.67
Middle Africa (WID),2003,26.64
Middle Africa (WID),2004,26.12
Middle Africa (WID),2005,25.59
Middle Africa (WID),2006,24.87
Middle Africa (WID),2007,24.56
Middle Africa (WID),2008,24.44
Middle Africa (WID),2009,24.67
Middle Africa (WID),2010,24.6
Middle Africa (WID),2011,25
Middle Africa (WID),2012,25.52
Middle Africa (WID),2013,25.78
Middle Africa (WID),2014,26.28
Middle Africa (WID),2015,25.69
Middle Africa (WID),2016,25.62
Middle Africa (WID),2017,25.58
Middle Africa (WID),2018,25.44
Middle Africa (WID),2019,24.64
Middle Africa (WID),2020,24.39
Middle Africa (WID),2021,24.38
Middle Africa (WID),2022,23.75
Middle Africa (WID),2023,23.54
Middle East (WID),1980,38.39
Middle East (WID),1981,37.9
Middle East (WID),1982,33.73
Middle East (WID),1983,32.6
Middle East (WID),1984,30.41
Middle East (WID),1985,30.28
Middle East (WID),1986,30.32
Middle East (WID),1987,30.28
Middle East (WID),1988,31.52
Middle East (WID),1989,29.17
Middle East (WID),1990,29.32
Middle East (WID),1991,31.71
Middle East (WID),1992,31.01
Middle East (WID),1993,28.4
Middle East (WID),1994,28.02
Middle East (WID),1995,27.9
Middle East (WID),1996,27.56
Middle East (WID),1997,27.56
Middle East (WID),1998,26.67
Middle East (WID),1999,26.35
Middle East (WID),2000,26.53
Middle East (WID),2001,25.91
Middle East (WID),2002,25.35
Middle East (WID),2003,25.88
Middle East (WID),2004,25.64
Middle East (WID),2005,24.97
Middle East (WID),2006,25.03
Middle East (WID),2007,24.43
Middle East (WID),2008,24.49
Middle East (WID),2009,24.42
Middle East (WID),2010,24.13
Middle East (WID),2011,24
Middle East (WID),2012,24.23
Middle East (WID),2013,23.63
Middle East (WID),2014,23.58
Middle East (WID),2015,24.22
Middle East (WID),2016,23.14
Middle East (WID),2017,23.68
Middle East (WID),2018,23.71
Middle East (WID),2019,23.27
Middle East (WID),2020,22.89
Middle East (WID),2021,22.91
Middle East (WID),2022,23.64
Middle East (WID),2023,23.53
Moldova,1988,5.87
Moldova,1993,9.65
Moldova,1998,8.95
Moldova,1999,8.84
Moldova,2000,8.78
Moldova,2001,8.66
Moldova,2002,9.06
Moldova,2003,9.42
Moldova,2004,9.43
Moldova,2005,9.84
Moldova,2006,10.22
Moldova,2007,10.42
Moldova,2008,10.84
Moldova,2009,10.61
Moldova,2010,10.45
Moldova,2011,10.67
Moldova,2012,10.5
Moldova,2013,10.08
Moldova,2014,10.15
Moldova,2015,10.18
Moldova,2016,9.88
Moldova,2017,10.59
Moldova,2018,10.3
Moldova,2022,10.73
Moldova,2023,10.68
Monaco,1980,9.08
Monaco,1981,9.05
Monaco,1982,9.02
Monaco,1983,9.13
Monaco,1984,9.34
Monaco,1985,9.37
Monaco,1986,9.34
Monaco,1987,9.27
Monaco,1988,9.33
Monaco,1989,9.43
Monaco,1990,9.22
Monaco,1991,9.14
Monaco,1992,9.51
Monaco,1993,9.63
Monaco,1994,10.07
Monaco,1995,9.75
Monaco,1996,10.08
Monaco,1997,10.68
Monaco,1998,10.81
Monaco,1999,10.88
Monaco,2000,11.3
Monaco,2001,10.86
Monaco,2002,10.5
Monaco,2003,10.75
Monaco,2004,11.16
Monaco,2005,11.34
Monaco,2006,12
Monaco,2007,11.98
Monaco,2008,10.78
Monaco,2009,9.88
Monaco,2010,10.93
Monaco,2011,10.88
Monaco,2012,10.25
Monaco,2013,10.4
Monaco,2014,10.85
Monaco,2015,10.66
Monaco,2016,10.77
Monaco,2017,10.78
Monaco,2018,10.83
Monaco,2019,10.49
Monaco,2020,10.58
Monaco,2021,11.4
Monaco,2022,11.5
Monaco,2023,11.5
Mongolia,1995,14.93
Mongolia,1998,15.11
Mongolia,2002,16.53
Mongolia,2007,16.27
Mongolia,2011,16.68
Mongolia,2012,18.16
Mongolia,2013,16.86
Mongolia,2014,17.48
Mongolia,2015,16.27
Mongolia,2016,16.37
Mongolia,2017,17.22
Mongolia,2022,18.88
Mongolia,2023,16.06
Montenegro,1980,7.06
Montenegro,1981,7.07
Montenegro,1982,7.07
Montenegro,1983,7.06
Montenegro,1984,7.06
Montenegro,1985,7.06
Montenegro,1986,7.06
Montenegro,1987,7.06
Montenegro,1988,7.06
Montenegro,1989,7.06
Montenegro,2001,8.12
Montenegro,2006,8.23
Montenegro,2007,7.89
Montenegro,2008,8.1
Montenegro,2009,8.49
Montenegro,2010,8.79
Montenegro,2011,9.23
Montenegro,2012,9.95
Montenegro,2013,9.57
Montenegro,2014,9.21
Montenegro,2015,10.66
Montenegro,2016,10.45
Montenegro,2017,10.6
Montenegro,2022,9.89
Montenegro,2023,9.93
Montserrat,1980,23.75
Montserrat,1981,23.64
Montserrat,1982,23.53
Montserrat,1983,23.42
Montserrat,1984,23.31
Montserrat,1985,23.19
Montserrat,1986,23.07
Montserrat,1987,22.95
Montserrat,1988,22.83
Montserrat,1989,22.71
Montserrat,1990,22.58
Montserrat,1991,22.57
Montserrat,1992,22.55
Montserrat,1993,22.54
Montserrat,1994,22.53
Montserrat,1995,22.52
Montserrat,1996,22.51
Montserrat,1997,22.5
Montserrat,1998,22.49
Montserrat,1999,22.48
Montserrat,2000,22.47
Montserrat,2001,22.31
Montserrat,2002,22.16
Montserrat,2003,22.02
Montserrat,2004,21.89
Montserrat,2005,21.76
Montserrat,2006,21.64
Montserrat,2007,21.53
Montserrat,2008,21.42
Montserrat,2009,21.31
Montserrat,2010,21.21
Montserrat,2011,21.2
Montserrat,2012,21.2
Montserrat,2013,21.2
Montserrat,2014,21.2
Montserrat,2015,21.19
Montserrat,2016,21.19
Montserrat,2017,21.19
Montserrat,2018,21.18
Montserrat,2019,21.18
Montserrat,2020,21.2
Montserrat,2021,21.2
Montserrat,2022,21.2
Montserrat,2023,21.2
Morocco,1984,13.27
Morocco,2000,13.25
Morocco,2006,13.44
Morocco,2013,13.32
Morocco,2022,13.33
Morocco,2023,13.23
Mozambique,1996,23.99
Mozambique,2002,25.31
Mozambique,2007,23.61
Mozambique,2008,23.27
Mozambique,2014,31.43
Mozambique,2022,24.65
Mozambique,2023,24.65
Myanmar,2015,28.66
Myanmar,2017,16.45
Myanmar,2022,18
Myanmar,2023,16.63
Namibia,2003,26.79
Namibia,2009,26.24
Namibia,2015,21.49
Namibia,2022,21.49
Namibia,2023,21.53
Nauru,1980,8.81
Nauru,1981,8.95
Nauru,1982,9.1
Nauru,1983,9.25
Nauru,1984,9.4
Nauru,1985,9.55
Nauru,1986,9.71
Nauru,1987,9.87
Nauru,1988,10.03
Nauru,1989,10.2
Nauru,1990,10.37
Nauru,1991,10.65
Nauru,1992,10.91
Nauru,1993,11.17
Nauru,1994,11.42
Nauru,1995,11.66
Nauru,1996,11.89
Nauru,1997,12.12
Nauru,1998,12.34
Nauru,1999,12.55
Nauru,2000,12.76
Nauru,2001,13.14
Nauru,2002,13.51
Nauru,2003,13.88
Nauru,2004,14.23
Nauru,2005,14.58
Nauru,2006,14.92
Nauru,2007,15.25
Nauru,2008,15.57
Nauru,2009,15.89
Nauru,2010,16.2
Nauru,2011,16.18
Nauru,2012,16.16
Nauru,2013,16.14
Nauru,2014,16.12
Nauru,2015,16.11
Nauru,2016,16.09
Nauru,2017,16.07
Nauru,2018,16.06
Nauru,2019,16.05
Nauru,2020,16.03
Nauru,2021,16.03
Nauru,2022,16.03
Nauru,2023,16.03
Nepal,1984,9.39
Nepal,1995,17.9
Nepal,2010,14.95
Nepal,2022,13.63
Nepal,2023,14.01
Netherlands,1980,5.87
Netherlands,1981,5.8
Netherlands,1982,5.81
Netherlands,1983,5.91
Netherlands,1984,5.99
Netherlands,1985,5.86
Netherlands,1986,5.89
Netherlands,1987,5.84
Netherlands,1988,5.9
Netherlands,1989,5.88
Netherlands,1990,5.65
Netherlands,1991,5.65
Netherlands,1992,5.48
Netherlands,1993,5.39
Netherlands,1994,5.55
Netherlands,1995,5.77
Netherlands,1996,5.73
Netherlands,1997,5.87
Netherlands,1998,5.71
Netherlands,1999,5.8
Netherlands,2000,5.95
Netherlands,2001,6.73
Netherlands,2002,6.69
Netherlands,2003,6.52
Netherlands,2004,6.79
Netherlands,2005,7.08
Netherlands,2006,6.92
Netherlands,2007,7.71
Netherlands,2008,6.57
Netherlands,2009,6.36
Netherlands,2010,6.69
Netherlands,2011,6.56
Netherlands,2012,6.43
Netherlands,2013,6.29
Netherlands,2014,6.82
Netherlands,2015,6.81
Netherlands,2016,6.76
Netherlands,2017,6.91
Netherlands,2022,6.69
Netherlands,2023,6.69
New Caledonia,1980,8.81
New Caledonia,1981,8.95
New Caledonia,1982,9.1
New Caledonia,1983,9.25
New Caledonia,1984,9.4
New Caledonia,1985,9.55
New Caledonia,1986,9.71
New Caledonia,1987,9.87
New Caledonia,1988,10.03
New Caledonia,1989,10.2
New Caledonia,1990,10.37
New Caledonia,1991,10.65
New Caledonia,1992,10.91
New Caledonia,1993,11.17
New Caledonia,1994,11.42
New Caledonia,1995,11.66
New Caledonia,1996,11.89
New Caledonia,1997,12.12
New Caledonia,1998,12.34
